calc_id,geom_id,mol_id,molecule_id,label,code,root,basis,method,omegaA,omegaB,omegaC,ijk,value
calc_45b53ce42cea5d37,geom_aa9a7f709a36d938,C18H20N2O2,geom_aa9a7f709a36d938,n9,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n9,,,-0.0,0.0,0.0,zxz,-29.35312161251631
calc_45b53ce42cea5d37,geom_aa9a7f709a36d938,C18H20N2O2,geom_aa9a7f709a36d938,n9,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n9,,,-0.0,0.0,0.0,zyx,-0.0008311068334711422
calc_45b53ce42cea5d37,geom_aa9a7f709a36d938,C18H20N2O2,geom_aa9a7f709a36d938,n9,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n9,,,-0.0,0.0,0.0,zyy,-0.0005748403927310444
calc_45b53ce42cea5d37,geom_aa9a7f709a36d938,C18H20N2O2,geom_aa9a7f709a36d938,n9,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n9,,,-0.0,0.0,0.0,zyz,-27.568436712917325
calc_45b53ce42cea5d37,geom_aa9a7f709a36d938,C18H20N2O2,geom_aa9a7f709a36d938,n9,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n9,,,-0.0,0.0,0.0,zzx,-29.353121612558233
calc_45b53ce42cea5d37,geom_aa9a7f709a36d938,C18H20N2O2,geom_aa9a7f709a36d938,n9,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n9,,,-0.0,0.0,0.0,zzy,-27.568436712940258
calc_45b53ce42cea5d37,geom_aa9a7f709a36d938,C18H20N2O2,geom_aa9a7f709a36d938,n9,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n9,,,-0.0,0.0,0.0,zzz,-3.796307378745517e-05
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,xxx,28705.038494450844
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,xxy,30273.983774280445
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,xxz,0.003558377215838636
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,xyx,30273.983774278095
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,xyy,30458.090097996792
calc_49cda8ee4199a6ed,geom_f76df9740e850e15,C22H24N2O2,geom_f76df9740e850e15,n11,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n11,,,-0.0,0.0,0.0,xyz,0.002179660404197677
